trial0000308, AA, 7139, 20, 356.950000, GDX, 2178, 20, 108.900000, 
trial0000309, AA, 5321, 20, 266.050000, GDX, 3226, 20, 161.300000, 
trial0000310, AA, 4981, 20, 249.050000, GDX, 4269, 20, 213.450000, 
trial0000311, AA, 4912, 20, 245.600000, GDX, 4364, 20, 218.200000, 
trial0000312, AA, 3630, 20, 181.500000, GDX, 5568, 20, 278.400000, 
trial0000313, AA, 4094, 20, 204.700000, GDX, 5296, 20, 264.800000, 
trial0000314, AA, 5154, 20, 257.700000, GDX, 3940, 20, 197.000000, 
trial0000315, AA, 4821, 20, 241.050000, GDX, 4280, 20, 214.000000, 
trial0000316, AA, 5081, 20, 254.050000, GDX, 4290, 20, 214.500000, 
trial0000317, AA, 4579, 20, 228.950000, GDX, 4383, 20, 219.150000, 
trial0000318, AA, 5423, 20, 271.150000, GDX, 2492, 20, 124.600000, 
trial0000319, AA, 3642, 20, 182.100000, GDX, 5159, 20, 257.950000, 
trial0000320, AA, 5123, 20, 256.150000, GDX, 4210, 20, 210.500000, 
trial0000321, AA, 4735, 20, 236.750000, GDX, 4509, 20, 225.450000, 
trial0000322, AA, 5206, 20, 260.300000, GDX, 4376, 20, 218.800000, 
trial0000323, AA, 7392, 20, 369.600000, GDX, 2081, 20, 104.050000, 
trial0000324, AA, 5254, 20, 262.700000, GDX, 3902, 20, 195.100000, 
trial0000325, AA, 5872, 20, 293.600000, GDX, 3536, 20, 176.800000, 
trial0000326, AA, 3756, 20, 187.800000, GDX, 5596, 20, 279.800000, 
trial0000327, AA, 3399, 20, 169.950000, GDX, 4601, 20, 230.050000, 
trial0000328, AA, 4233, 20, 211.650000, GDX, 4514, 20, 225.700000, 
trial0000329, AA, 4276, 20, 213.800000, GDX, 5032, 20, 251.600000, 
trial0000330, AA, 4117, 20, 205.850000, GDX, 4698, 20, 234.900000, 
trial0000331, AA, 5439, 20, 271.950000, GDX, 3869, 20, 193.450000, 
trial0000332, AA, 4149, 20, 207.450000, GDX, 5366, 20, 268.300000, 
trial0000333, AA, 5890, 20, 294.500000, GDX, 3349, 20, 167.450000, 
trial0000334, AA, 5209, 20, 260.450000, GDX, 4030, 20, 201.500000, 
trial0000335, AA, 5466, 20, 273.300000, GDX, 4152, 20, 207.600000, 
trial0000336, AA, 4815, 20, 240.750000, GDX, 4658, 20, 232.900000, 
trial0000337, AA, 2745, 20, 137.250000, GDX, 6651, 20, 332.550000, 
trial0000338, AA, 3101, 20, 155.050000, GDX, 6320, 20, 316.000000, 
trial0000339, AA, 4510, 20, 225.500000, GDX, 4871, 20, 243.550000, 
trial0000340, AA, 4577, 20, 228.850000, GDX, 3796, 20, 189.800000, 
trial0000341, AA, 4794, 20, 239.700000, GDX, 3988, 20, 199.400000, 
